arm_id,state_index,year,dp_gap,tpr_gap,fpr_gap,equalized_odds_max_gap
D6_ARM_001,10,2022,7.655256389667254e-05,0.00893610847314551,0.0007785899833228031,0.00893610847314551
D6_ARM_001,10,2023,0.0013083223563388584,0.0012718084331544205,0.0015570317184086411,0.0015570317184086411
D6_ARM_001,10,2024,0.0001826071492545935,3.0880108294648045e-05,0.0003450289091394684,0.0003450289091394684
D6_ARM_001,11,2022,7.655256389667254e-05,0.00893610847314551,0.0007785899833228031,0.00893610847314551
D6_ARM_001,11,2023,0.0014339031675908989,0.0012718084331544205,0.0016924688417241417,0.0016924688417241417
D6_ARM_001,11,2024,0.00036423692544970774,0.000628315672852351,0.00048003549195112455,0.000628315672852351
D6_ARM_001,12,2022,0.00012090682408002523,0.0013717421124828531,0.00021585839689163908,0.0013717421124828531
D6_ARM_001,12,2023,0.0001255808112520407,0.0,0.00013543712331550077,0.00013543712331550077
D6_ARM_001,12,2024,4.696777781105806e-05,0.0002968271634036686,6.257430698955009e-05,0.0002968271634036686
D6_ARM_001,13,2022,6.694336591243807e-05,0.0,7.19527989638797e-05,7.19527989638797e-05
D6_ARM_001,13,2023,1.2110350871620283e-05,0.0012987012987012987,6.771856165775038e-05,0.0012987012987012987
D6_ARM_001,13,2024,5.7149388501543034e-05,0.0,6.257430698955009e-05,6.257430698955009e-05
D6_ARM_001,14,2022,6.694336591243807e-05,0.0,7.19527989638797e-05,7.19527989638797e-05
D6_ARM_001,14,2023,5.0680054754400066e-05,0.0012987012987012987,0.00013543712331550077,0.0012987012987012987
D6_ARM_001,14,2024,2.0363221380969947e-05,0.0009560229445506692,5.271633815699385e-05,0.0009560229445506692
D6_ARM_001,15,2022,6.694336591243807e-05,0.0,7.19527989638797e-05,7.19527989638797e-05
D6_ARM_001,15,2023,7.490075649764063e-05,0.0012987012987012987,0.0,0.0012987012987012987
D6_ARM_001,15,2024,1.0181610690484973e-05,0.0,9.857968832556238e-06,9.857968832556238e-06
D6_ARM_002,0,2022,0.03139730861401522,0.12,0.01760370202514133,0.12
D6_ARM_002,0,2023,0.011720587391728331,0.1111111111111111,0.01098901098901099,0.1111111111111111
D6_ARM_002,0,2024,0.008724007961716004,0.038135593220338986,0.00800931502449209,0.038135593220338986
D6_ARM_002,1,2022,0.025962526005319567,0.09523809523809523,0.01760370202514133,0.09523809523809523
D6_ARM_002,1,2023,0.00693607908373009,0.1111111111111111,0.005794910556815319,0.1111111111111111
D6_ARM_002,1,2024,0.008724007961716004,0.036016949152542374,0.00800931502449209,0.036016949152542374
D6_ARM_002,2,2022,0.02535683248624022,0.09523809523809523,0.01697159077356105,0.09523809523809523
D6_ARM_002,2,2023,0.0068276483170100185,0.1111111111111111,0.005494505494505495,0.1111111111111111
D6_ARM_002,2,2024,0.0063166375261407655,0.036016949152542374,0.006907901420183262,0.036016949152542374
D6_ARM_002,3,2022,0.02535683248624022,0.09523809523809523,0.01697159077356105,0.09523809523809523
D6_ARM_002,3,2023,0.0068276483170100185,0.1111111111111111,0.005494505494505495,0.1111111111111111
D6_ARM_002,3,2024,0.0065601543048033235,0.03177966101694915,0.008032128514056224,0.03177966101694915
D6_ARM_002,4,2022,0.02535683248624022,0.09523809523809523,0.01697159077356105,0.09523809523809523
D6_ARM_002,4,2023,0.006523069274747127,0.1111111111111111,0.005494505494505495,0.1111111111111111
D6_ARM_002,4,2024,0.007081318044641319,0.036016949152542374,0.008032128514056224,0.036016949152542374
D6_ARM_002,5,2022,0.02535683248624022,0.08,0.01697159077356105,0.08
D6_ARM_002,5,2023,0.006574695500869997,0.1111111111111111,0.005494505494505495,0.1111111111111111
D6_ARM_002,5,2024,0.006444645718665087,0.03389830508474576,0.008032128514056224,0.03389830508474576
D6_ARM_002,6,2022,0.02535683248624022,0.08,0.01697159077356105,0.08
D6_ARM_002,6,2023,0.006626321726992868,0.1111111111111111,0.005494505494505495,0.1111111111111111
