arm_id,year,state_index,preceding_state_index,pathwise_marginal_delta_d_phi,cumulative_delta_from_baseline_d_phi,pathwise_marginal_delta_auroc,cumulative_delta_from_baseline_auroc,pathwise_marginal_delta_auprc,cumulative_delta_from_baseline_auprc,pathwise_marginal_delta_ks_statistic,cumulative_delta_from_baseline_ks_statistic,pathwise_marginal_delta_selection_rate,cumulative_delta_from_baseline_selection_rate,pathwise_marginal_delta_count_predicted_positive,cumulative_delta_from_baseline_count_predicted_positive
D6_ARM_001,2023,8,7,3.285421614315277e-05,-0.0033883087856040137,-0.0072966385370123454,-0.013502162061051037,-0.002642211197819627,-0.012079650853494606,-0.011283802273377164,-0.02256368069540199,-0.00013662602042558997,-0.0006831301021279503,-4.0,-20.0
D6_ARM_001,2023,9,8,5.809174433022053e-05,-0.003330217041273793,4.153216576208152e-05,-0.013460629895288956,-8.077040530743429e-05,-0.01216042125880204,0.0019333213684301076,-0.02063035932697188,-0.00017078252553198768,-0.000853912627659938,-5.0,-25.0
D6_ARM_001,2023,10,9,0.00011705918480781725,-0.0032131578564659757,-0.01907523467474459,-0.032535864570033546,-0.002189015244969117,-0.014349436503771157,-0.04028970761279477,-0.06092006693976665,0.00017078252553198768,-0.0006831301021279503,5.0,-20.0
D6_ARM_001,2023,11,10,3.349005792058148e-05,-0.0031796677985453945,-0.0002084474946607573,-0.0327443120646943,-0.0001977794301005753,-0.014547215933871732,9.724327264215571e-05,-0.06082282366712449,-6.831301021279499e-05,-0.0007514431123407453,-2.0,-22.0
D6_ARM_001,2023,12,11,0.00011954804029266452,-0.0030601197582527297,-0.038954839920892104,-0.0716991519855864,-0.04258438127520081,-0.05713159720907254,-0.0579992429810261,-0.11882206664815059,-0.002971615944256584,-0.003723059056597329,-87.0,-109.0
D6_ARM_001,2023,13,12,-0.0004177969260886269,-0.0034779166843413568,-0.0019742279926721062,-0.07367337997825851,0.00020639715718911988,-0.05692520005188342,-0.0026845967338543497,-0.12150666338200494,0.0,-0.003723059056597329,0.0,-109.0
D6_ARM_001,2023,14,13,8.643115504068828e-05,-0.0033914855293006685,-5.7881546396298944e-05,-0.07373126152465481,-0.0003348515517369588,-0.05726005160362038,0.0016060494186899144,-0.11990061396331503,3.415650510639751e-05,-0.0036889025514909315,1.0,-108.0
D6_ARM_001,2023,15,14,2.0173242986774756e-05,-0.0033713122863138936,-0.0003680079717494067,-0.07409926949640422,0.000370315643043323,-0.05688973596057706,-0.0017593070910704167,-0.12165992105438544,-6.831301021279501e-05,-0.0037572155617037264,-2.0,-110.0
D6_ARM_001,2024,1,0,0.00010307919261135987,0.00010307919261135987,-0.0012499462793978955,-0.0012499462793978955,-0.0020326172895887007,-0.0020326172895887007,-0.0028220524391406876,-0.0028220524391406876,-3.09119010819172e-05,-3.09119010819172e-05,-1.0,-1.0
D6_ARM_001,2024,2,1,-0.0023489438256257423,-0.0022458646330143824,-0.004341810074313446,-0.005591756353711341,-0.0030149240674625932,-0.005047541357051294,-0.007801076287760944,-0.010623128726901632,-0.00015455950540958253,-0.00018547140649149974,-5.0,-6.0
D6_ARM_001,2024,3,2,-0.0007983064575155112,-0.0030441710905298935,0.0006208077873122164,-0.004970948566399125,0.0003864233509258408,-0.004661118006125453,0.0025102011510230726,-0.008112927575878559,-3.0911901081916333e-05,-0.00021638330757341607,-1.0,-7.0
D6_ARM_001,2024,4,3,0.00012252797118456591,-0.0029216431193453277,-0.0007874415306667881,-0.005758390097065913,-0.0008363322030460474,-0.0054974502091715005,0.0010709933098809743,-0.007041934265997585,-0.00040185471406491494,-0.000618238021638331,-13.0,-20.0
D6_ARM_001,2024,5,4,7.391277550382368e-05,-0.0028477303438415036,-0.0011358444409070856,-0.006894234537972999,-0.0005936464944744924,-0.006091096703645993,-0.0037899860239329897,-0.010831920289930574,-9.273570324574987e-05,-0.0007109737248840809,-3.0,-23.0
D6_ARM_001,2024,6,5,0.00014495945337670408,-0.0027027708904647997,0.0002358401563574697,-0.006658394381615529,0.000146967177311913,-0.00594412952633408,-0.0002429919878136344,-0.011074912277744209,0.0,-0.0007109737248840809,0.0,-23.0
D6_ARM_001,2024,7,6,0.00013325146481659518,-0.0025695194256482043,0.0005800187705449211,-0.006078375611070608,0.0006214292786720921,-0.005322700247661988,0.0077406524809696675,-0.0033342597967745413,6.18238021638331e-05,-0.0006491499227202478,2.0,-21.0
D6_ARM_001,2024,8,7,3.8746798480232113e-05,-0.0025307726271679726,-0.010999857343230057,-0.017078232954300665,-0.006512050635468919,-0.011834750883130907,-0.016562331793606944,-0.019896591590381485,-9.273570324574943e-05,-0.0007418856259659972,-3.0,-24.0
D6_ARM_001,2024,9,8,-0.0005162348346508687,-0.003047007461818841,0.0001773156454656366,-0.01690091730883503,0.00011217268829810667,-0.0117225781948328,0.0009367065404848884,-0.018959885049896597,-0.00015455950540958253,-0.0008964451313755797,-5.0,-29.0
D6_ARM_001,2024,10,9,0.00012187929596298326,-0.0029251281658558576,-0.024120560178070627,-0.041021477486905655,-0.012295704346108771,-0.02401828254094157,-0.038660940852769055,-0.05762082590266565,-0.0001236476043276662,-0.001020092735703246,-4.0,-33.0
D6_ARM_001,2024,11,10,2.5614666179468986e-05,-0.002899513499676389,-0.00044268002911718174,-0.04146415751602284,3.898295023255227e-05,-0.02397929959070902,0.0022771640934417525,-0.0553436618092239,-3.091190108191677e-05,-0.0010510046367851627,-1.0,-34.0
D6_ARM_001,2024,12,11,8.144765663026612e-05,-0.0028180658430461227,-0.0445900842005027,-0.08605424171652554,-0.04881610749280618,-0.0727954070835152,-0.06055343046175382,-0.11589709227097772,-0.002874806800618238,-0.0039258114374034,-93.0,-127.0
D6_ARM_001,2024,13,12,0.00017124360114562196,-0.0026468222419005006,-0.001827155401870617,-0.08788139711839615,-0.001248284333415256,-0.07404369141693046,-0.005652042625282294,-0.12154913489626001,-6.182380216383307e-05,-0.003987635239567234,-2.0,-129.0
D6_ARM_001,2024,14,13,0.00010289748355439532,-0.0025439247583461055,0.00013731909353920102,-0.08774407802485695,0.000162461982632367,-0.07388122943429809,-0.00011543789491680334,-0.12166457279117682,9.273570324574961e-05,-0.003894899536321484,3.0,-126.0
D6_ARM_001,2024,15,14,2.166634374735398e-05,-0.0025222584145987515,-0.0003210072042126866,-0.08806508522906964,-0.000553547877324756,-0.07443477731162285,0.00012241944467183963,-0.12154215334650498,-6.182380216383307e-05,-0.0039567233384853176,-2.0,-128.0
D6_ARM_002,2022,1,0,-0.0014166280372182884,-0.0014166280372182884,-0.0002016656360654956,-0.0002016656360654956,7.987631323772004e-05,7.987631323772004e-05,-7.457283951600724e-05,-7.457283951600724e-05,-0.0001821294576184753,-0.0001821294576184753,-5.0,-5.0
D6_ARM_002,2022,2,1,-0.0002839645816028703,-0.0017005926188211587,0.008344920720712357,0.008143255084646861,0.008205416210169542,0.008285292523407262,0.012980029657552294,0.012905456818036287,0.0004735365898080354,0.0002914071321895601,13.0,8.0
D6_ARM_002,2022,3,2,-6.540058490478364e-05,-0.0017659932037259424,-0.000340593296231706,0.007802661788415155,-0.0014269211706963159,0.006858371352710946,0.00024787219931143856,0.013153329017347726,-0.00021855534914217052,7.28517830473896e-05,-6.0,2.0
D6_ARM_002,2022,4,3,0.0002014338581058893,-0.001564559345620053,0.0004326544565190771,0.008235316244934232,0.00043479358161824244,0.007293164934329188,0.00127064199295579,0.014423971010303516,0.00018212945761847572,0.0002549812406658653,5.0,7.0
D6_ARM_002,2022,5,4,-0.0008686762350686942,-0.0024332355806887473,-0.0007040863936245145,0.0075312298513097176,-0.0005744459598940876,0.006718718974435101,-0.0012189689546009408,0.013205002055702575,-3.64258915236948e-05,0.00021855534914217052,-1.0,6.0
D6_ARM_002,2022,6,5,-0.0005475481637172634,-0.0029807837444060107,0.00013258126954651672,0.007663811120856234,4.3087336987435165e-05,0.006761806311422536,0.0029011474318235697,0.016106149487526145,-0.00010927767457108526,0.00010927767457108526,-3.0,3.0
D6_ARM_002,2022,7,6,-8.09185805061472e-05,-0.003061702324912158,-0.0014290487827359755,0.006234762338120259,-0.002618170175993556,0.00414363613542898,-0.0030720050260773513,0.013034144461448793,3.64258915236948e-05,0.00014570356609478006,1.0,4.0
D6_ARM_002,2022,8,7,9.031834320284921e-05,-0.0029713839817093086,-5.987825049036388e-05,0.006174884087629895,-0.0007911809021726446,0.003352455233256335,-4.8505342517046746e-05,0.012985639118931747,7.285178304739046e-05,0.00021855534914217052,2.0,6.0
D6_ARM_002,2022,9,8,9.408776016168411e-05,-0.0028772962215476245,-2.6551450529543885e-05,0.006148332637100351,-0.00011581147426270588,0.003236643758993629,-0.001361185298987544,0.011624453819944203,-0.00018212945761847572,3.64258915236948e-05,-5.0,1.0
