record_type,year,arm_id,feature,transform_family,transform_type,original_cardinality,terminal_cardinality,cardinality_reduction,nmi_y_before,nmi_y_after,delta_nmi_y,nmi_a_before,nmi_a_after,delta_nmi_a,post_state,category,state,n,outcome_positive_count,outcome_prevalence
category_state,2022,D6_ARM_002,empwrkft1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-2,after,1019.0,79.0,0.0775269872423945
category_state,2022,D6_ARM_002,empwrkft1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,after,23477.0,1457.0,0.06206074029901606
category_state,2022,D6_ARM_002,empwrkft1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,after,2957.0,234.0,0.07913425769360839
feature_summary,2022,D6_ARM_002,empwrklsw1_a,Family_I,categorical_merge,3.0,2.0,1.0,0.0019225236524708447,0.00024080038821170253,-0.0016817232642591421,0.00873109608668552,0.002487227037198378,-0.006243869049487143,merged_categories,,,,,
category_state,2022,D6_ARM_002,empwrklsw1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,998.0,77.0,0.07715430861723446
category_state,2022,D6_ARM_002,empwrklsw1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,15357.0,1124.0,0.07319137852445139
category_state,2022,D6_ARM_002,empwrklsw1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,2,before,11098.0,569.0,0.05127049918904307
category_state,2022,D6_ARM_002,empwrklsw1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,after,998.0,77.0,0.07715430861723446
category_state,2022,D6_ARM_002,empwrklsw1_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,after,26455.0,1693.0,0.06399546399546399
feature_summary,2022,D6_ARM_002,hypev_a,Family_I,categorical_merge,3.0,2.0,1.0,0.0005343385402525147,1.4325130626227382e-06,-0.0005329060271898919,0.01131094377607427,0.00032191455112217765,-0.010989029224952093,merged_categories,,,,,
category_state,2022,D6_ARM_002,hypev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,-1,before,44.0,3.0,0.06818181818181818
category_state,2022,D6_ARM_002,hypev_a,Family_I,categorical_merge,,,,,,,,,,merged_categories,1,before,10082.0,579.0,0.057429081531442175
